route_no,first_time,last_time,interval_minutes
01A,06:30,23:00,12
01B,06:30,23:00,18
040,04:30,22:40,17
0017,05:00,23:15,16
0411,04:20,22:30,15
100,04:00,22:30,12
101,04:00,23:00,10
102,04:00,23:10,12
103,04:30,23:00,12
104,04:00,23:15,10
105,04:00,22:40,14
107,04:10,22:30,13
109,04:27,23:20,15
111,04:10,22:20,24
120,04:25,23:10,8
121,04:00,22:30,10
130,04:20,22:50,12
140,04:00,22:50,8
141,04:00,22:40,12
142,04:00,22:45,12
143,04:00,22:10,8
144,04:30,22:50,12
145,04:00,22:40,10
146,04:05,23:00,12
147,04:00,22:10,9
148,04:00,22:40,10
150,03:57,22:00,9
151,04:00,22:50,10
152,04:00,22:00,10
160,03:57,22:10,9
162,04:00,22:50,9
163,04:00,22:30,10
171,04:00,23:00,11
172,04:00,22:45,12
173,04:00,22:50,13
201,04:00,00:00,18
202,04:00,22:00,10
240,04:00,22:50,18
241,04:00,22:30,11
242,04:00,22:30,17
260,03:55,22:40,10
261,03:50,22:30,11
262,04:00,22:00,15
270,04:00,22:20,10
271,04:10,22:20,7
272,04:15,22:30,7
273,04:10,22:30,8
301,04:00,22:30,8
302,04:00,22:45,15
303,04:00,22:20,12
320,04:00,23:00,10
333,04:00,23:00,13
340,04:30,23:10,8
341,04:30,22:20,14
342,04:00,22:30,11
343,04:00,22:40,17
345,04:00,22:50,12
350,04:00,22:30,13
360,04:00,22:50,7
361,04:00,22:30,14
370,04:00,22:50,8
400,04:15,22:25,14
401,04:00,22:30,13
402,04:00,00:05,12
405,04:10,22:40,17
406,04:00,23:00,14
420,04:00,22:50,11
421,04:00,22:10,12
422,04:30,23:00,20
440,03:55,22:55,13
441,04:20,22:20,15
452,04:00,22:50,12
461,04:00,22:10,15
463,04:00,22:15,13
470,04:00,22:30,11
472,04:10,23:20,11
500,04:00,23:00,10
501,04:30,22:30,11
502,04:10,22:50,13
503,04:15,22:20,18
504,03:55,22:40,8
505,04:10,22:30,12
506,04:30,22:30,16
507,04:00,22:50,11
540,04:45,00:05,25
541,04:10,23:20,20
571,04:20,22:30,15
600,04:00,23:30,9
601,04:00,22:50,10
602,04:10,22:30,10
603,04:20,23:00,12
604,04:00,22:50,13
